*** New Session***
30/10/2017 14:58:38
Product Name: hr sensor
1143247031 : Tx: [00][FF][FF][FF][78][FA][98][48]
1143247281 : Tx: [00][FF][FF][FF][CD][FD][99][48]
1143247531 : Tx: [00][FF][FF][FF][CD][FD][99][48]
1143247781 : Tx: [00][FF][FF][FF][CD][FD][99][48]
1143248015 : Tx: [86][FF][00][00][22][01][9A][48]
1143248265 : Tx: [86][FF][00][00][22][01][9A][48]
1143248515 : Tx: [86][FF][00][00][22][01][9A][48]
1143248750 : Tx: [86][FF][00][00][22][01][9A][48]
1143249000 : Tx: [00][FF][FF][FF][77][04][9B][48]
1143249250 : Tx: [00][FF][FF][FF][77][04][9B][48]
1143249500 : Tx: [00][FF][FF][FF][77][04][9B][48]
1143249750 : Tx: [00][FF][FF][FF][CC][07][9C][48]
1143249984 : Tx: [80][FF][FF][FF][CC][07][9C][48]
1143250234 : Tx: [80][FF][FF][FF][CC][07][9C][48]
1143250484 : Tx: [80][FF][FF][FF][CC][07][9C][48]
1143250734 : Tx: [80][FF][FF][FF][21][0B][9D][48]
1143250968 : Tx: [00][FF][FF][FF][21][0B][9D][48]
1143251218 : Tx: [00][FF][FF][FF][21][0B][9D][48]
1143251468 : Tx: [00][FF][FF][FF][76][0E][9E][48]
1143251718 : Tx: [00][FF][FF][FF][76][0E][9E][48]
1143251953 : Tx: [80][FF][FF][FF][76][0E][9E][48]
1143252203 : Tx: [80][FF][FF][FF][CB][11][9F][48]
1143252453 : Tx: [80][FF][FF][FF][CB][11][9F][48]
1143252703 : Tx: [80][FF][FF][FF][CB][11][9F][48]
1143252937 : Tx: [00][FF][FF][FF][CB][11][9F][48]
1143253187 : Tx: [00][FF][FF][FF][20][15][A0][48]
1143253437 : Tx: [00][FF][FF][FF][20][15][A0][48]
1143253687 : Tx: [00][FF][FF][FF][20][15][A0][48]
1143253937 : Tx: [80][FF][FF][FF][75][18][A1][48]
1143254171 : Tx: [80][FF][FF][FF][75][18][A1][48]
1143254421 : Tx: [80][FF][FF][FF][75][18][A1][48]
1143254671 : Tx: [80][FF][FF][FF][75][18][A1][48]
1143254921 : Tx: [00][FF][FF][FF][CA][1B][A2][48]
1143255156 : Tx: [00][FF][FF][FF][CA][1B][A2][48]
1143255406 : Tx: [00][FF][FF][FF][CA][1B][A2][48]
1143255656 : Tx: [00][FF][FF][FF][1F][1F][A3][48]
1143255906 : Tx: [80][FF][FF][FF][1F][1F][A3][48]
1143256140 : Tx: [80][FF][FF][FF][1F][1F][A3][48]
1143256390 : Tx: [80][FF][FF][FF][74][22][A4][48]
1143256640 : Tx: [80][FF][FF][FF][74][22][A4][48]
1143256890 : Tx: [00][FF][FF][FF][74][22][A4][48]
1143257125 : Tx: [00][FF][FF][FF][74][22][A4][48]
1143257375 : Tx: [00][FF][FF][FF][C9][25][A5][48]
1143257625 : Tx: [00][FF][FF][FF][C9][25][A5][48]
1143257875 : Tx: [80][FF][FF][FF][C9][25][A5][48]
1143258109 : Tx: [80][FF][FF][FF][1E][29][A6][48]
1143258359 : Tx: [80][FF][FF][FF][1E][29][A6][48]
1143258609 : Tx: [80][FF][FF][FF][1E][29][A6][48]
1143258859 : Tx: [00][FF][FF][FF][73][2C][A7][48]
